keys,en,de
WEAPON_SETTINGS_HEADLINE,"Weapon Settings","Einstellungen Waffen"
WEAPON_SETTINGS_RESET,"Reset Weapon","Waffe zurücksetzen"
WEAPON_SETTINGS_MELEE,"Melee","Nahkampf"
WEAPON_SETTINGS_RANGED,"Ranged","Fernkampf"
WEAPON_SETTINGS_PRICE,"Base Price","Basispreis"
WEAPON_SETTINGS_COOLDOWN,"Cooldown","Abklingzeit"
WEAPON_SETTINGS_DAMAGE,"Damage","Schaden"
WEAPON_SETTINGS_CRIT_CHANGE,"% Crit Chance","% Crit Chance"
WEAPON_SETTINGS_CRIT_DAMAGE,"Crit Damage","Crit Schaden"
WEAPON_SETTINGS_MIN_RANGE,"Minimum Range","Minimale Reichweite"
WEAPON_SETTINGS_MAX_RANGE,"Maximum Range","Maximale Reichweite"
WEAPON_SETTINGS_KNOCKBACK,"Knockback","Rückschlag"
WEAPON_SETTINGS_LIFESTEAL,"Lifesteal","Lebensraub"
WEAPON_SETTINGS_RECOIL,"Recoil","Rückstoß"
WEAPON_SETTINGS_RECOIL_DURATION,"Recoil Duration","Rückstoß Dauer"
WEAPON_SETTINGS_ADDED_COOLDOWN,"Additional Cooldown every X Shots","Zusätzliche Abklingzeit alle X Schüsse"
WEAPON_SETTINGS_ADDED_COOLDOWN_MULTIPLIER,"Additional Cooldown Multiplier","Zusätzlicher Abkühlungsmultiplikator"
WEAPON_SETTINGS_ACCURACY,"% Accuracy","% Genauigkiet"
WEAPON_SETTINGS_ATTACK_TYPE,"Stab or Swing Attack","Stich oder Schwinganriff"
WEAPON_SETTINGS_ALTERNATE_ATTACK_TYPE,"Alternate Attack Modes","Wechsel von Angriffsarten"
